month_day,n_years_with_data,tmax_record_high,tmax_record_high_years,tmax_record_low,tmax_record_low_years,tmean_record_high,tmean_record_high_years,tmean_record_low,tmean_record_low_years,tmin_record_high,tmin_record_high_years,tmin_record_low,tmin_record_low_years,precip_record_high,precip_record_high_years
04-19,153,29.7,2000,3.9,1929,21.8,2000,2.3,1929,16.3,1994,0.4,1929,43.8,1995
04-20,153,29.5,1899,5.9,1929,24.9,1899,2.9,1987,17.3,1994,0.5,1987,48.0,1885
04-21,153,27.5,1899,8.0,1949,23.3,1877,6.3,1993,18.0,1899,1.6,1979,40.5,1992
04-22,153,28.2,1982,6.3,1927,21.5,1877,5.0,1993,16.7,1926,1.6,1993,51.0,1892
04-23,153,28.5,2001,8.5,1932,24.0,1997,5.8,1993,19.8,1997,1.3,1993,35.5,1919
04-24,153,27.2,"1936, 1969",9.2,2017,23.9,1933,4.0,1893,19.1,1933,2.5,1948,44.0,1883
04-25,153,32.2,2024,6.9,1987,26.8,2024,4.9,1987,22.2,2024,3.0,"1902, 1909",38.2,1960
04-26,153,29.6,2024,9.8,1987,26.0,2024,5.7,2006,22.9,2024,2.5,"1902, 1987",30.6,1933
04-27,153,27.8,2024,8.1,1945,22.8,1966,6.3,2006,19.7,1964,3.9,2006,123.0,1884
04-28,153,29.4,1970,8.8,1932,23.5,1926,7.0,1948,21.0,1926,3.3,2006,48.8,1914
04-29,153,28.6,1979,9.5,1948,22.9,1934,7.0,1948,18.4,1934,3.6,1915,31.7,2009
04-30,153,29.3,1970,7.4,1915,22.9,1879,5.5,1915,17.6,1934,3.8,1915,81.4,1875
05-01,153,29.2,1944,11.7,1945,24.1,1970,8.6,1915,18.1,1934,4.5,1915,38.5,1883
05-02,153,29.5,1935,11.3,1990,25.0,1909,8.4,1940,19.9,1909,4.0,1915,91.5,1991
05-03,153,30.9,1961,10.0,1898,24.6,1929,8.7,1997,18.2,1929,6.2,1940,47.9,1958
05-04,153,29.2,"1909, 2013",11.0,1898,24.3,1909,8.5,"1898, 1986",19.2,1909,4.7,1940,54.3,1986
05-05,153,29.5,1922,9.1,1986,25.0,1909,7.9,1986,20.4,1909,4.2,1994,74.1,1923
05-06,153,31.6,1922,12.1,1990,25.7,1922,8.2,1986,22.0,1922,3.0,1986,54.5,2011
05-07,153,27.4,2019,9.3,1915,23.2,2019,6.9,1915,19.7,2019,4.4,1986,32.5,1953
05-08,153,28.3,2007,10.9,1915,23.1,1910,7.8,1915,18.0,1910,3.5,1915,35.5,1888
05-09,153,27.2,"1932, 1985",10.1,1986,22.8,"1887, 1932",8.8,"1915, 1986",16.5,1997,4.2,1915,48.0,1888
05-10,153,29.5,1985,11.9,1915,23.7,1985,9.5,1915,17.7,1902,5.2,1915,23.5,1893
05-11,153,31.7,1985,11.0,1915,25.5,1985,7.8,1945,18.0,1985,4.6,1945,46.7,2009
05-12,153,30.0,1985,12.1,1964,25.6,1985,9.0,1945,20.5,1985,3.5,1945,68.0,1887
05-13,153,29.6,2021,13.8,2025,23.2,1970,9.5,1884,18.8,1985,6.0,1945,79.7,1954
05-14,153,30.1,1995,13.7,2006,24.8,2021,10.0,1884,20.6,2021,4.7,1988,61.6,1994
05-15,153,29.2,1958,13.8,"1981, 2011",23.1,1995,10.5,1896,18.8,1925,6.4,2000,63.0,1881
05-16,153,31.2,2014,14.0,1898,25.2,2014,11.1,1896,19.3,2020,6.6,1980,52.9,2017
05-17,153,33.6,1988,13.7,1964,24.8,1877,10.6,1896,18.8,1988,8.2,1931,66.0,1973
05-18,153,30.4,2019,13.3,1932,25.8,1940,10.8,1932,20.0,2019,7.5,1945,32.0,1932
05-19,153,31.6,2012,14.4,1992,24.8,2012,11.3,1932,19.7,2012,7.6,1904,46.4,1951
05-20,153,29.6,2012,14.5,"1964, 1992, 2004",23.7,1994,10.8,1999,20.2,2012,5.8,1999,36.0,1876
05-21,153,30.7,2020,11.9,1932,25.6,2007,10.0,1876,21.6,2007,7.9,1908,29.3,1911
05-22,153,32.0,1958,14.2,1932,26.3,1967,10.9,1876,21.3,1967,8.0,1990,118.0,1877
05-23,153,30.9,1995,15.0,"1909, 1917",23.8,"1957, 2007",10.1,1876,20.3,2007,6.0,1909,92.0,1877
05-24,153,31.7,2013,13.3,1917,25.4,2013,11.6,1876,21.0,2013,7.8,2020,74.1,2012
05-25,153,29.9,1938,14.8,1944,23.4,1960,11.6,1955,19.1,2003,6.4,1955,94.1,1987
05-26,153,34.7,2007,15.3,1944,26.9,2007,11.0,1944,20.6,2007,6.2,1944,63.2,2008
05-27,153,33.3,2007,12.8,1944,27.9,2007,9.0,1944,23.4,2007,7.0,1944,74.0,1888
05-28,153,30.7,1945,13.7,1904,24.1,2007,11.6,1904,20.3,1945,8.7,1969,51.5,1967
05-29,153,29.5,1899,14.8,1967,24.8,1899,12.0,1967,20.3,2018,7.0,1904,112.5,1906
05-30,153,34.3,1899,15.7,1952,28.1,1899,13.4,2008,20.6,2019,9.1,1956,44.8,1989
05-31,153,33.9,2006,16.9,1933,27.0,2006,14.1,1967,22.3,2006,10.0,1904,33.4,1936
06-01,153,32.1,1932,14.3,1956,24.5,1980,12.8,1956,20.2,2006,9.7,1967,89.8,1996
06-02,153,32.3,"1941, 2010",15.5,1904,26.2,2010,12.5,1938,21.5,2010,8.6,1978,56.6,1976
06-03,153,33.1,1969,13.8,1978,28.0,1901,12.2,1918,22.0,1901,9.1,"1994, 1997",61.2,1972
06-04,153,33.2,1969,16.3,1911,27.7,1966,13.0,"1911, 1967",24.4,1966,8.8,1918,64.8,2013
06-05,153,34.2,1949,13.9,1911,26.8,1949,11.8,1967,22.3,1949,7.1,1978,51.4,1979
06-06,153,33.8,1907,16.1,1930,26.7,1923,12.8,1967,22.2,1923,8.4,1967,43.1,1917
